"strain_id","X.query","KEGG_ko","KEGG_Pathway","EC","Description"
"ha","WP_064287173.1","ko:K01895","ko00010,ko00620,ko00640,ko00680,ko00720,ko01100,ko01110,ko01120,ko01130,ko01200,map00010,map00620,map00640,map00680,map00720,map01100,map01110,map01120,map01130,map01200","6.2.1.1","COG0365 Acyl-coenzyme A synthetases AMP-(fatty) acid ligases"
"ha","WP_151102759.1","ko:K15634","ko00010,ko00260,ko00680,ko01100,ko01110,ko01120,ko01130,ko01200,ko01230,map00010,map00260,map00680,map01100,map01110,map01120,map01130,map01200,map01230","5.4.2.12","COG0406 Fructose-2,6-bisphosphatase"
"ha","WP_151103327.1","ko:K00175","ko00010,ko00020,ko00620,ko00650,ko00720,ko01100,ko01120,ko01130,ko01200,map00010,map00020,map00620,map00650,map00720,map01100,map01120,map01130,map01200","1.2.7.11,1.2.7.3","COG1013 Pyruvate ferredoxin oxidoreductase and related 2-oxoacid ferredoxin oxidoreductases, beta subunit"
"ha","WP_151103345.1","ko:K03841","ko00010,ko00030,ko00051,ko00680,ko00710,ko01100,ko01110,ko01120,ko01130,ko01200,ko04152,ko04910,map00010,map00030,map00051,map00680,map00710,map01100,map01110,map01120,map01130,map01200,map04152,map04910","3.1.3.11","D-fructose-1,6-bisphosphate 1-phosphohydrolase class 1"
"ha","WP_151103525.1","ko:K01895","ko00010,ko00620,ko00640,ko00680,ko00720,ko01100,ko01110,ko01120,ko01130,ko01200,map00010,map00620,map00640,map00680,map00720,map01100,map01110,map01120,map01130,map01200","6.2.1.1","COG0365 Acyl-coenzyme A synthetases AMP-(fatty) acid ligases"
"ha","WP_151104117.1","ko:K00001","ko00010,ko00071,ko00350,ko00625,ko00626,ko00830,ko00980,ko00982,ko01100,ko01110,ko01120,ko01130,ko01220,map00010,map00071,map00350,map00625,map00626,map00830,map00980,map00982,map01100,map01110,map01120,map01130,map01220","1.1.1.1","COG1063 Threonine dehydrogenase and related Zn-dependent dehydrogenases"
"ha","WP_151146412.1","ko:K00174","ko00010,ko00020,ko00620,ko00650,ko00720,ko01100,ko01120,ko01130,ko01200,map00010,map00020,map00620,map00650,map00720,map01100,map01120,map01130,map01200","1.2.7.11,1.2.7.3","COG1014 Pyruvate ferredoxin oxidoreductase and related 2-oxoacid ferredoxin oxidoreductases, gamma subunit"
"ha","WP_191450181.1","ko:K00128","ko00010,ko00053,ko00071,ko00280,ko00310,ko00330,ko00340,ko00380,ko00410,ko00561,ko00620,ko00625,ko00903,ko00981,ko01100,ko01110,ko01120,ko01130,map00010,map00053,map00071,map00280,map00310,map00330,map00340,map00380,map00410,map00561,map00620,map00625,map00903,map00981,map01100,map01110,map01120,map01130","1.2.1.3","COG1012 NAD-dependent aldehyde dehydrogenases"
"ha","WP_420181823.1","ko:K13953,ko:K18382","ko00010,ko00071,ko00350,ko00625,ko00626,ko00640,ko00830,ko00980,ko00982,ko01100,ko01110,ko01120,ko01130,ko01220,map00010,map00071,map00350,map00625,map00626,map00640,map00830,map00980,map00982,map01100,map01110,map01120,map01130,map01220","1.1.1.1","COG1064 Zn-dependent alcohol dehydrogenases"
"ha","WP_420181946.1","ko:K16306","ko00010,ko00030,ko00051,ko00400,ko00680,ko01100,ko01110,ko01120,ko01130,ko01200,ko01230,map00010,map00030,map00051,map00400,map00680,map01100,map01110,map01120,map01130,map01200,map01230","2.2.1.10,4.1.2.13","Catalyzes a transaldol reaction between 6-deoxy-5- ketofructose 1-phosphate (DKFP) and L-aspartate semialdehyde (ASA) with an elimination of hydroxypyruvaldehyde phosphate to yield 2- amino-3,7-dideoxy-D-threo-hept-6-ulosonate (ADH). Plays a key role in an alternative pathway of the biosynthesis of 3-dehydroquinate (DHQ), which is involved in the canonical pathway for the biosynthesis of aromatic amino acids"
"ha","WP_420181984.1","ko:K00128","ko00010,ko00053,ko00071,ko00280,ko00310,ko00330,ko00340,ko00380,ko00410,ko00561,ko00620,ko00625,ko00903,ko00981,ko01100,ko01110,ko01120,ko01130,map00010,map00053,map00071,map00280,map00310,map00330,map00340,map00380,map00410,map00561,map00620,map00625,map00903,map00981,map01100,map01110,map01120,map01130","1.2.1.3","Belongs to the aldehyde dehydrogenase family"
"ha","WP_420181986.1","ko:K00001","ko00010,ko00071,ko00350,ko00625,ko00626,ko00830,ko00980,ko00982,ko01100,ko01110,ko01120,ko01130,ko01220,map00010,map00071,map00350,map00625,map00626,map00830,map00980,map00982,map01100,map01110,map01120,map01130,map01220","1.1.1.1","COG1064 Zn-dependent alcohol dehydrogenases"
"ha","WP_420182063.1","ko:K00150","ko00010,ko00710,ko01100,ko01110,ko01120,ko01130,ko01200,ko01230,map00010,map00710,map01100,map01110,map01120,map01130,map01200,map01230","1.2.1.59","Belongs to the glyceraldehyde-3-phosphate dehydrogenase family"
"ha","WP_420182180.1","ko:K15778","ko00010,ko00030,ko00051,ko00052,ko00230,ko00500,ko00520,ko00521,ko01100,ko01110,ko01120,ko01130,map00010,map00030,map00051,map00052,map00230,map00500,map00520,map00521,map01100,map01110,map01120,map01130","5.4.2.2,5.4.2.8","COG1109 Phosphomannomutase"
"ha","WP_420182311.1","ko:K00382","ko00010,ko00020,ko00260,ko00280,ko00620,ko00630,ko00640,ko01100,ko01110,ko01120,ko01130,ko01200,map00010,map00020,map00260,map00280,map00620,map00630,map00640,map01100,map01110,map01120,map01130,map01200","1.8.1.4","COG1249 Pyruvate 2-oxoglutarate dehydrogenase complex, dihydrolipoamide dehydrogenase (E3) component, and related enzymes"
"ha","WP_420182312.1","ko:K00161","ko00010,ko00020,ko00620,ko01100,ko01110,ko01120,ko01130,ko01200,ko04066,ko04922,ko05230,map00010,map00020,map00620,map01100,map01110,map01120,map01130,map01200,map04066,map04922,map05230","1.2.4.1","COG1071 Pyruvate 2-oxoglutarate dehydrogenase complex, dehydrogenase (E1) component, eukaryotic type, alpha subunit"
"ha","WP_420182372.1","ko:K01810","ko00010,ko00030,ko00500,ko00520,ko01100,ko01110,ko01120,ko01130,ko01200,map00010,map00030,map00500,map00520,map01100,map01110,map01120,map01130,map01200","5.3.1.9","Belongs to the GPI family"
"ha","WP_420182379.1","ko:K01895","ko00010,ko00620,ko00640,ko00680,ko00720,ko01100,ko01110,ko01120,ko01130,ko01200,map00010,map00620,map00640,map00680,map00720,map01100,map01110,map01120,map01130,map01200","6.2.1.1","Acetyl-coenzyme A synthetase N-terminus"
"ha","WP_420182443.1","ko:K15633","ko00010,ko00260,ko00680,ko01100,ko01110,ko01120,ko01130,ko01200,ko01230,map00010,map00260,map00680,map01100,map01110,map01120,map01130,map01200,map01230","5.4.2.12","Catalyzes the interconversion of 2-phosphoglycerate and 3-phosphoglycerate"
"ha","WP_420182464.1","ko:K00001,ko:K00344","ko00010,ko00071,ko00350,ko00625,ko00626,ko00830,ko00980,ko00982,ko01100,ko01110,ko01120,ko01130,ko01220,map00010,map00071,map00350,map00625,map00626,map00830,map00980,map00982,map01100,map01110,map01120,map01130,map01220","1.1.1.1,1.6.5.5","COG0604 NADPH quinone reductase and related Zn-dependent oxidoreductases"
"ha","WP_420182489.1","ko:K00001,ko:K00344","ko00010,ko00071,ko00350,ko00625,ko00626,ko00830,ko00980,ko00982,ko01100,ko01110,ko01120,ko01130,ko01220,map00010,map00071,map00350,map00625,map00626,map00830,map00980,map00982,map01100,map01110,map01120,map01130,map01220","1.1.1.1,1.6.5.5","COG0604 NADPH quinone reductase and related Zn-dependent oxidoreductases"
"ha","WP_420182637.1","ko:K00845","ko00010,ko00052,ko00500,ko00520,ko00521,ko00524,ko01100,ko01110,ko01120,ko01130,ko01200,map00010,map00052,map00500,map00520,map00521,map00524,map01100,map01110,map01120,map01130,map01200","2.7.1.2","COG1940 Transcriptional regulator sugar kinase"
"ha","WP_420182656.1","ko:K01895","ko00010,ko00620,ko00640,ko00680,ko00720,ko01100,ko01110,ko01120,ko01130,ko01200,map00010,map00620,map00640,map00680,map00720,map01100,map01110,map01120,map01130,map01200","6.2.1.1","COG0365 Acyl-coenzyme A synthetases AMP-(fatty) acid ligases"
"ha","WP_420183005.1","ko:K00128","ko00010,ko00053,ko00071,ko00280,ko00310,ko00330,ko00340,ko00380,ko00410,ko00561,ko00620,ko00625,ko00903,ko00981,ko01100,ko01110,ko01120,ko01130,map00010,map00053,map00071,map00280,map00310,map00330,map00340,map00380,map00410,map00561,map00620,map00625,map00903,map00981,map01100,map01110,map01120,map01130","1.2.1.3","COG1012 NAD-dependent aldehyde dehydrogenases"
"ha","WP_420183014.1","ko:K00128","ko00010,ko00053,ko00071,ko00280,ko00310,ko00330,ko00340,ko00380,ko00410,ko00561,ko00620,ko00625,ko00903,ko00981,ko01100,ko01110,ko01120,ko01130,map00010,map00053,map00071,map00280,map00310,map00330,map00340,map00380,map00410,map00561,map00620,map00625,map00903,map00981,map01100,map01110,map01120,map01130","1.2.1.3","COG1012 NAD-dependent aldehyde dehydrogenases"
"ha","WP_420183025.1","ko:K01895","ko00010,ko00620,ko00640,ko00680,ko00720,ko01100,ko01110,ko01120,ko01130,ko01200,map00010,map00620,map00640,map00680,map00720,map01100,map01110,map01120,map01130,map01200","6.2.1.1","Acetyl-coenzyme A synthetase N-terminus"
"ha","WP_420183028.1","ko:K00627","ko00010,ko00020,ko00620,ko01100,ko01110,ko01120,ko01130,ko01200,map00010,map00020,map00620,map01100,map01110,map01120,map01130,map01200","2.3.1.12","COG0508 Pyruvate 2-oxoglutarate dehydrogenase complex, dihydrolipoamide acyltransferase (E2) component, and related enzymes"
"ha","WP_420183029.1","ko:K00382","ko00010,ko00020,ko00260,ko00280,ko00620,ko00630,ko00640,ko01100,ko01110,ko01120,ko01130,ko01200,map00010,map00020,map00260,map00280,map00620,map00630,map00640,map01100,map01110,map01120,map01130,map01200","1.8.1.4","COG1249 Pyruvate 2-oxoglutarate dehydrogenase complex, dihydrolipoamide dehydrogenase (E3) component, and related enzymes"
